,종가,거래량,기관매매량,외국인매매량,외국인보유율
2009-12-04,115500.0,2173892.0,148804.0,441274.0,27.64
2009-12-07,116500.0,1480237.0,-178243.0,455106.0,27.94
2009-12-08,116500.0,1052500.0,-103475.0,254921.0,28.11
2009-12-09,117500.0,1060857.0,-109753.0,138751.0,28.21
2009-12-10,117500.0,1484562.0,-150623.0,70291.0,28.26
2009-12-11,116000.0,1098101.0,-87883.0,-10275.0,28.25
2009-12-14,113500.0,1382512.0,-268747.0,-40395.0,28.22
2009-12-15,116000.0,1029867.0,-215475.0,275373.0,28.41
2009-12-16,119000.0,1642188.0,-50121.0,587262.0,28.82
2009-12-17,116500.0,835935.0,17351.0,-102636.0,28.75
2009-12-18,117500.0,981379.0,-87252.0,201075.0,28.89
2009-12-21,118000.0,864020.0,226200.0,30585.0,28.91
2009-12-22,121500.0,1073269.0,167976.0,179357.0,29.04
2009-12-23,122000.0,849925.0,-54829.0,169353.0,29.16
2009-12-24,121500.0,838609.0,112422.0,364.0,29.16
2009-12-28,120500.0,775248.0,-124734.0,213389.0,29.31
2009-12-29,119500.0,302458.0,-34289.0,14494.0,29.32
2009-12-30,121500.0,472623.0,15633.0,65863.0,29.36
2010-01-04,126000.0,973115.0,78960.0,140867.0,29.45
2010-01-05,125500.0,1490644.0,-246998.0,518795.0,29.8
2010-01-06,124500.0,1308134.0,-340185.0,237589.0,29.95
2010-01-07,115000.0,3355260.0,-464661.0,-592034.0,29.54
2010-01-08,111000.0,3246788.0,-371558.0,-909179.0,28.91
2010-01-11,110500.0,2219953.0,-137744.0,-298305.0,28.71
2010-01-12,112000.0,1327679.0,-131285.0,60542.0,28.75
2010-01-13,109500.0,1069518.0,-154114.0,-226842.0,28.65
2010-01-14,110000.0,1134913.0,-190956.0,-164171.0,28.54
2010-01-15,110000.0,1148856.0,-291612.0,61793.0,28.58
2010-01-18,112500.0,1115654.0,3114.0,78242.0,28.64
2010-01-19,113500.0,959599.0,149202.0,-19859.0,28.62
2010-01-20,113000.0,985503.0,-173065.0,238216.0,28.79
2010-01-21,113000.0,1121041.0,-364061.0,238425.0,28.95
2010-01-22,109500.0,1592017.0,-185034.0,-249464.0,28.78
2010-01-25,109000.0,1017233.0,38632.0,-81683.0,28.73
2010-01-26,108000.0,1359668.0,-193601.0,41355.0,28.75
2010-01-27,106000.0,1671531.0,12941.0,-173079.0,28.63
2010-01-28,110000.0,1525427.0,-305105.0,570729.0,29.03
2010-01-29,109000.0,1518026.0,-15569.0,152744.0,29.13
2010-02-01,111000.0,1092299.0,91210.0,176471.0,29.25
2010-02-02,111000.0,994424.0,-165929.0,416952.0,29.54
2010-02-03,113000.0,876597.0,-139416.0,390687.0,29.8
2010-02-04,112000.0,532859.0,-108915.0,96232.0,29.87
2010-02-05,108000.0,816466.0,120175.0,-78493.0,29.82
2010-02-08,109000.0,651217.0,117993.0,48690.0,29.85
2010-02-09,109500.0,481447.0,74436.0,17021.0,29.87
2010-02-10,114000.0,1537748.0,12695.0,503700.0,30.21
2010-02-11,114000.0,821280.0,55030.0,79456.0,30.27
2010-02-12,115000.0,632889.0,48886.0,46719.0,30.29
2010-02-16,114500.0,500130.0,184366.0,-112894.0,30.21
2010-02-17,115500.0,658384.0,-3911.0,155649.0,30.3
2010-02-18,116500.0,1152050.0,-64281.0,373140.0,30.57
2010-02-19,115000.0,823262.0,-127655.0,231562.0,30.74
2010-02-22,117000.0,714424.0,14957.0,170023.0,30.85
2010-02-23,114000.0,1171267.0,-193035.0,-67103.0,30.8
2010-02-24,110000.0,1329091.0,-141359.0,-337730.0,30.57
2010-02-25,106000.0,2288677.0,-728959.0,-51978.0,30.55
2010-02-26,107000.0,851365.0,-87119.0,-179556.0,30.42
2010-03-02,108000.0,654734.0,25200.0,-42132.0,30.39
2010-03-03,108500.0,608553.0,-109414.0,59759.0,30.43
2010-03-04,106000.0,1907117.0,-394590.0,-294598.0,30.23
2010-03-05,104500.0,2829366.0,-1284868.0,425609.0,30.56
2010-03-08,105500.0,1419060.0,-300562.0,-168550.0,30.45
